property_type,society,sector,price,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,built_up_area,study room,servant room,store room,pooja room,others,age_category,furnishing_type,luxury_score,combined_rating
flat,maa bhagwati residency,sector 7,0.45,5000.0,Carpet area: 900 (83.61 sq.m.),2,2,1,4.0,West,1000.0,0,0,0,0,0,Relatively New,Unfurnished,11,4.0
flat,apna enclave,sector 3,0.5,7692.0,Carpet area: 650 (60.39 sq.m.),2,2,1,1.0,West,722.0,0,0,0,0,0,Old Property,Furnished,14,4.25
flat,tulsiani easy in homes,sohna road,0.4,6723.0,Carpet area: 595 (55.28 sq.m.),2,2,3,12.0,East,661.0,0,0,0,0,0,New Property,Unfurnished,31,4.25
flat,smart world orchard,sector 61,1.47,12250.0,Carpet area: 1200 (111.48 sq.m.),2,2,2,2.0,East,1333.0,1,0,0,0,0,Relatively New,Unfurnished,49,4.2
flat,parkwood westend,sector 92,0.7,5204.0,Super Built up area 1345(124.95 sq.m.),2,2,3,5.0,East,1217.0,1,0,0,0,0,Under Construction,Unfurnished,0,4.0
flat,signature global infinity mall,sector 36,0.41,6269.0,Built Up area: 654 (60.76 sq.m.),2,2,3,3.0,East,654.0,0,0,0,0,0,New Property,Unfurnished,0,3.8
flat,the cocoon,dwarka expressway,2.0,13333.0,Super Built up area 1500(139.35 sq.m.),3,3,3,5.0,East,1357.0,0,0,0,0,0,New Property,Unfurnished,0,4.0
flat,ats triumph,sector 104,1.8,7860.0,Carpet area: 2290 (212.75 sq.m.),3,4,3,14.0,East,2544.0,0,0,0,0,0,New Property,Unfurnished,44,4.7
flat,vatika xpressions,sector 88,1.1,8148.0,Built Up area: 1350 (125.42 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),2,4,3+,2.0,North-East,1350.0,1,0,0,0,0,Under Construction,Unfurnished,42,4.3
flat,raheja revanta,sector 78,4.75,16886.0,Built Up area: 2813 (261.34 sq.m.),3,3,2,31.0,East,2813.0,0,1,0,0,0,Relatively New,Unfurnished,52,4.25
flat,signature global city 81,sector 81,0.96,9766.0,Carpet area: 1075 (99.87 sq.m.),2,2,2,1.0,East,1194.0,0,0,0,0,0,Relatively New,Unfurnished,23,4.12
flat,hcbs sports ville,sohna road,0.29,5588.0,Carpet area: 519 (48.22 sq.m.),2,2,1,4.0,East,577.0,0,0,0,0,0,Relatively New,Unfurnished,22,3.6
flat,supertech araville,sector 79,1.35,6941.0,Carpet area: 1945 (180.7 sq.m.),3,3,3,4.0,North,2161.0,0,0,0,0,0,Relatively New,Unfurnished,0,3.75
flat,godrej,sector 33,0.95,6859.0,Super Built up area 1385(128.67 sq.m.),2,2,3+,3.0,South-East,1253.0,0,0,0,0,0,Under Construction,Unfurnished,0,3.75
flat,shree vardhman flora,sector 90,0.7,5385.0,Super Built up area 1300(120.77 sq.m.),2,2,3,13.0,East,1176.0,1,0,0,0,0,New Property,Unfurnished,12,4.8
flat,sobha city,sector 108,3.95,16859.0,Built Up area: 2343 (217.67 sq.m.)Carpet area: 2300 sq.ft. (213.68 sq.m.),4,5,3,25.0,East,2343.0,0,0,0,0,0,Relatively New,Unfurnished,25,4.38
flat,senate court,sector 62,0.9,14085.0,Built Up area: 639 (59.37 sq.m.),1,1,0,0.0,East,639.0,0,0,0,0,0,Relatively New,Unfurnished,0,4.25
flat,shapoorji pallonji joyville gurugram,sector 102,1.05,11475.0,Carpet area: 915 (85.01 sq.m.),2,2,2,0.0,North-East,1017.0,0,0,0,0,0,Relatively New,Unfurnished,23,4.4
flat,central park flower valley,sector 33,2.2,10476.0,Super Built up area 2100(195.1 sq.m.),3,3,3,12.0,North-East,1900.0,0,1,0,0,0,New Property,Furnished,23,4.25
flat,smart world gems,sector 89,1.01,9157.0,Carpet area: 1103 (102.47 sq.m.),2,2,2,4.0,East,1226.0,1,0,0,0,0,New Property,Unfurnished,31,4.0
flat,bestech altura,sector 79,1.85,8605.0,Super Built up area 2150(199.74 sq.m.),3,4,3+,11.0,North,1946.0,0,1,0,0,0,New Property,Unfurnished,23,3.75
flat,smart world gems,sector 89,0.86,7797.0,Super Built up area 1103(102.47 sq.m.),2,3,3,4.0,East,998.0,0,0,0,0,0,Relatively New,Unfurnished,26,4.0
flat,emaar imperial gardens,sector 102,1.85,9136.0,Carpet area: 2025 (188.13 sq.m.),3,3,3+,0.0,South-West,2250.0,0,1,0,0,0,Relatively New,Furnished,58,4.4
flat,la vida by tata housing,sector 113,2.85,12855.0,Super Built up area 2217(205.97 sq.m.),3,3,3+,10.0,East,2006.0,0,1,0,0,0,New Property,Unfurnished,44,4.3
flat,the serenas,sector 36,0.42,7910.0,Carpet area: 531 (49.33 sq.m.),2,2,1,3.0,East,590.0,0,0,0,0,0,New Property,Unfurnished,0,3.8
flat,m3m golfestate,sector 65,6.15,18331.0,Built Up area: 3355 (311.69 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),3,4,2,20.0,North-East,3355.0,0,0,0,0,0,Relatively New,Unfurnished,27,5.0
flat,central park resort belgravia residences,sector 48,6.25,24300.0,Carpet area: 2880 (267.56 sq.m.),3,5,3+,5.0,South-East,3200.0,0,1,0,0,0,Moderately Old,Furnished,23,4.25
flat,apex builders,sector 37,0.42,5600.0,Carpet area: 750 (69.68 sq.m.),2,2,2,4.0,North,833.0,0,0,0,0,0,Relatively New,Unfurnished,17,4.25
flat,godrej habitat,sector 3,1.35,12784.0,Built Up area: 1056 (98.11 sq.m.)Carpet area: 912 sq.ft. (84.73 sq.m.),2,2,0,4.0,North-East,1056.0,0,0,0,0,0,Relatively New,Unfurnished,28,4.38
flat,ompee k s residency,sector 110,1.6,2993.0,Carpet area: 66 (55.18 sq.m.),2,2,2,1.0,East,73.0,0,0,0,0,0,Relatively New,Unfurnished,0,4.0
flat,bhawna cghs,sector 43,3.25,10156.0,Super Built up area 3200(297.29 sq.m.)Carpet area: 3000 sq.ft. (278.71 sq.m.),4,4,3+,12.0,West,3115.0,0,0,0,1,0,Moderately Old,Furnished,56,4.25
flat,adani aangan arcade,sector 88a,0.45,7188.0,Carpet area: 625.47 (58.11 sq.m.),2,2,1,8.0,North-West,695.0,0,0,0,0,0,New Property,Unfurnished,8,4.7
flat,sare green parc,sector 92,0.85,6538.0,Built Up area: 1300 (120.77 sq.m.),3,2,2,20.0,East,1300.0,0,0,0,0,0,Relatively New,Unfurnished,0,4.0
flat,shree vardhman flora,sector 90,0.75,5769.0,Carpet area: 1300 (120.77 sq.m.),2,2,3,8.0,North-East,1444.0,0,0,0,0,0,Relatively New,Unfurnished,38,4.8
flat,supertech hues,sector 68,0.82,6949.0,Super Built up area 1180(109.63 sq.m.),2,2,3+,21.0,East,1068.0,0,0,0,0,1,Under Construction,Unfurnished,51,4.0
flat,chintels paradiso,sector 109,1.8,8867.0,Super Built up area 2030(188.59 sq.m.)Carpet area: 1785 sq.ft. (165.83 sq.m.),3,3,2,0.0,East,1910.0,0,1,0,0,0,Moderately Old,Unfurnished,45,4.6
flat,breez global hill view,sohna road,0.2999,5404.0,Super Built up area 655(60.85 sq.m.)Carpet area: 555 sq.ft. (51.56 sq.m.),2,2,2,6.0,North-East,605.0,0,0,0,0,0,New Property,Unfurnished,65,4.25
flat,ild greens,sector 37,0.78,5714.0,Super Built up area 1365(126.81 sq.m.)Built Up area: 1068.1 sq.ft. (99.23 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),2,2,3,1.0,North,1068.1,0,0,0,0,0,Moderately Old,Furnished,58,4.7
