property_type,sector,price,bedRoom,bathroom,balcony,facing,built_up_area,servant room,age_category,furnishing_type,combined_rating,luxury_category,floor_category
flat,sector 7,0.45,2,2,1,West,1000.0,0,Relatively New,Unfurnished,4.0,Low,Mid Floor
flat,sector 3,0.5,2,2,1,West,722.0,0,Old Property,Furnished,4.25,Low,Low Floor
flat,sohna road,0.4,2,2,3,East,661.0,0,New Property,Unfurnished,4.25,Low,High Floor
flat,sector 61,1.47,2,2,2,East,1333.0,0,Relatively New,Unfurnished,4.2,Low,Low Floor
flat,sector 92,0.7,2,2,3,East,1217.0,0,Under Construction,Unfurnished,4.0,Low,Mid Floor
flat,sector 36,0.41,2,2,3,East,654.0,0,New Property,Unfurnished,3.8,Low,Mid Floor
flat,dwarka expressway,2.0,3,3,3,East,1357.0,0,New Property,Unfurnished,4.0,Low,Mid Floor
flat,sector 104,1.8,3,4,3,East,2544.0,0,New Property,Unfurnished,4.7,Low,High Floor
flat,sector 88,1.1,2,4,3+,North-East,1350.0,0,Under Construction,Unfurnished,4.3,Low,Low Floor
flat,sector 78,4.75,3,3,2,East,2813.0,1,Relatively New,Unfurnished,4.25,Medium,High Floor
flat,sector 81,0.96,2,2,2,East,1194.0,0,Relatively New,Unfurnished,4.12,Low,Low Floor
flat,sohna road,0.29,2,2,1,East,577.0,0,Relatively New,Unfurnished,3.6,Low,Mid Floor
flat,sector 79,1.35,3,3,3,North,2161.0,0,Relatively New,Unfurnished,3.75,Low,Mid Floor
flat,sector 33,0.95,2,2,3+,South-East,1253.0,0,Under Construction,Unfurnished,3.75,Low,Mid Floor
flat,sector 90,0.7,2,2,3,East,1176.0,0,New Property,Unfurnished,4.8,Low,High Floor
flat,sector 108,3.95,4,5,3,East,2343.0,0,Relatively New,Unfurnished,4.38,Low,High Floor
flat,sector 62,0.9,1,1,0,East,639.0,0,Relatively New,Unfurnished,4.25,Low,Low Floor
flat,sector 102,1.05,2,2,2,North-East,1017.0,0,Relatively New,Unfurnished,4.4,Low,Low Floor
flat,sector 33,2.2,3,3,3,North-East,1900.0,1,New Property,Furnished,4.25,Low,High Floor
flat,sector 89,1.01,2,2,2,East,1226.0,0,New Property,Unfurnished,4.0,Low,Mid Floor
flat,sector 79,1.85,3,4,3+,North,1946.0,1,New Property,Unfurnished,3.75,Low,High Floor
flat,sector 89,0.86,2,3,3,East,998.0,0,Relatively New,Unfurnished,4.0,Low,Mid Floor
flat,sector 102,1.85,3,3,3+,South-West,2250.0,1,Relatively New,Furnished,4.4,Medium,Low Floor
flat,sector 113,2.85,3,3,3+,East,2006.0,1,New Property,Unfurnished,4.3,Low,Mid Floor
flat,sector 36,0.42,2,2,1,East,590.0,0,New Property,Unfurnished,3.8,Low,Mid Floor
flat,sector 65,6.15,3,4,2,North-East,3355.0,0,Relatively New,Unfurnished,5.0,Low,High Floor
flat,sector 48,6.25,3,5,3+,South-East,3200.0,1,Moderately Old,Furnished,4.25,Low,Mid Floor
flat,sector 37,0.42,2,2,2,North,833.0,0,Relatively New,Unfurnished,4.25,Low,Mid Floor
flat,sector 3,1.35,2,2,0,North-East,1056.0,0,Relatively New,Unfurnished,4.38,Low,Mid Floor
flat,sector 110,1.6,2,2,2,East,73.0,0,Relatively New,Unfurnished,4.0,Low,Low Floor
flat,sector 43,3.25,4,4,3+,West,3115.0,0,Moderately Old,Furnished,4.25,Medium,High Floor
flat,sector 88a,0.45,2,2,1,North-West,695.0,0,New Property,Unfurnished,4.7,Low,Mid Floor
flat,sector 92,0.85,3,2,2,East,1300.0,0,Relatively New,Unfurnished,4.0,Low,High Floor
flat,sector 90,0.75,2,2,3,North-East,1444.0,0,Relatively New,Unfurnished,4.8,Low,Mid Floor
flat,sector 68,0.82,2,2,3+,East,1068.0,0,Under Construction,Unfurnished,4.0,Medium,High Floor
flat,sector 109,1.8,3,3,2,East,1910.0,1,Moderately Old,Unfurnished,4.6,Low,Low Floor
flat,sohna road,0.2999,2,2,2,North-East,605.0,0,New Property,Unfurnished,4.25,Medium,Mid Floor
flat,sector 37,0.78,2,2,3,North,1068.1,0,Moderately Old,Furnished,4.7,Medium,Low Floor
flat,sector 43,2.0,3,3,2,North,1467.0,1,Old Property,Semi-Furnished,4.25,Low,Low Floor
flat,sohna road,0.74,2,2,3+,North-West,1344.0,0,New Property,Unfurnished,4.25,Low,High Floor
flat,sector 106,3.2,3,3,3+,North-East,2224.0,1,New Property,Unfurnished,4.3,Low,Mid Floor
flat,sector 82,1.3,4,4,3+,North,1774.0,1,Relatively New,Unfurnished,4.1,Medium,Low Floor
flat,sector 3 phase 3 extension,0.25,2,2,2,East,778.0,0,Relatively New,Unfurnished,3.75,Low,Low Floor
flat,sohna road,0.95,3,2,3+,East,1210.73,0,Relatively New,Unfurnished,4.8,Low,Low Floor
flat,sector 90,1.99,4,4,3+,East,3030.0,1,Relatively New,Furnished,4.4,Medium,Mid Floor
flat,sector 106,1.05,2,2,2,West,1539.0,0,New Property,Unfurnished,4.3,Medium,Mid Floor
flat,sector 85,1.83,3,3,3+,East,2032.0,0,Relatively New,Unfurnished,4.88,Medium,High Floor
flat,sector 82,2.25,3,3,3+,East,2333.0,1,Relatively New,Semi-Furnished,4.6,Low,High Floor
flat,sector 65,2.8,3,3,3+,South-West,1833.0,1,Relatively New,Furnished,4.5,Low,Mid Floor
flat,sector 28,1.6,2,2,2,North,1222.0,0,Relatively New,Unfurnished,4.4,Low,Mid Floor
flat,sector 79,0.83,2,2,3,North-East,1700.0,0,New Property,Semi-Furnished,3.75,Low,Mid Floor
