property_type,sector,price_per_sqft,bedRoom,bathroom,balcony,servant room,age_category,furnishing_type,combined_rating,dist_cyber_city_km,luxury_category,floor_category,price
0.0,72.0,5000.0,2,2,1.0,0,3.0,2.0,4,7.932372074404248,1.0,2.0,0.45
0.0,32.0,7692.0,2,2,1.0,0,2.0,0.0,4,6.681786888085641,1.0,1.0,0.5
0.0,100.0,6723.0,2,2,3.0,0,1.0,2.0,4,10.315343042261606,1.0,0.0,0.4
0.0,64.0,12250.0,2,2,2.0,0,3.0,2.0,4,9.325542058746992,2.0,1.0,1.47
0.0,96.0,5204.0,2,2,3.0,0,4.0,2.0,4,19.438662025225774,1.0,2.0,0.7
0.0,38.0,6269.0,2,2,3.0,0,1.0,2.0,3,12.864118802682363,1.0,2.0,0.41
0.0,0.0,13333.0,3,3,3.0,0,1.0,2.0,4,8.28225319142505,1.0,2.0,2.0
0.0,7.0,7860.0,3,4,3.0,0,1.0,2.0,4,9.444756665310383,1.0,0.0,1.8
0.0,90.0,8148.0,2,4,4.0,0,4.0,2.0,4,15.22123338101124,1.0,1.0,1.1
0.0,80.0,16886.0,3,3,2.0,1,3.0,2.0,4,17.849176868198043,2.0,3.0,4.75
0.0,84.0,9766.0,2,2,2.0,0,3.0,2.0,4,18.239734168866327,1.0,1.0,0.96
0.0,100.0,5588.0,2,2,1.0,0,3.0,2.0,3,10.315343042261606,1.0,2.0,0.29
0.0,81.0,6941.0,3,3,3.0,0,3.0,2.0,3,9.6830758001837,1.0,2.0,1.35
0.0,37.0,6859.0,2,2,4.0,0,4.0,2.0,3,8.807024823365314,1.0,2.0,0.95
0.0,94.0,5385.0,2,2,3.0,0,1.0,2.0,4,17.784613471274927,1.0,0.0,0.7
0.0,11.0,16859.0,4,5,3.0,0,3.0,2.0,4,10.594295381059624,1.0,3.0,3.95
0.0,65.0,14085.0,1,1,0.0,0,3.0,2.0,4,9.6830758001837,1.0,1.0,0.9
0.0,5.0,11475.0,2,2,2.0,0,3.0,2.0,4,11.688077620313686,1.0,1.0,1.05
0.0,37.0,10476.0,3,3,3.0,1,1.0,0.0,4,8.807024823365314,1.0,0.0,2.2
