property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,facing,built_up_area,study room,servant room,store room,pooja room,others,age_category,furnishing_type,luxury_score,combined_rating,coordinates,latitude,longitude
flat,maa bhagwati residency,sector 7,0.45,5000.0,2,2,1,4.0,West,1000.0,0,0,0,0,0,Relatively New,Unfurnished,11,4.0,"28.4644° N, 77.0143° E",28.4644, 77.0143
flat,apna enclave,sector 3,0.5,7692.0,2,2,1,1.0,West,722.0,0,0,0,0,0,Old Property,Furnished,14,4.25,"28.4909° N, 77.0176° E",28.4909, 77.0176
flat,tulsiani easy in homes,sohna road,0.4,6723.0,2,2,3,12.0,East,661.0,0,0,0,0,0,New Property,Unfurnished,31,4.25,"28.4223° N, 77.0402° E",28.4223,77.0402
flat,smart world orchard,sector 61,1.47,12250.0,2,2,2,2.0,East,1333.0,1,0,0,0,0,Relatively New,Unfurnished,49,4.2,"28.4050° N, 77.0963° E",28.4050, 77.0963
flat,parkwood westend,sector 92,0.7,5204.0,2,2,3,5.0,East,1217.0,1,0,0,0,0,Under Construction,Unfurnished,0,4.0,"28.4079° N, 76.9153° E",28.4079, 76.9153
flat,signature global infinity mall,sector 36,0.41,6269.0,2,2,3,3.0,East,654.0,0,0,0,0,0,New Property,Unfurnished,0,3.8,"28.4160° N, 76.9914° E",28.4160, 76.9914
flat,the cocoon,dwarka expressway,2.0,13333.0,3,3,3,5.0,East,1357.0,0,0,0,0,0,New Property,Unfurnished,0,4.0,"28.5206° N, 77.0235° E",28.5206,77.0235
flat,ats triumph,sector 104,1.8,7860.0,3,4,3,14.0,East,2544.0,0,0,0,0,0,New Property,Unfurnished,44,4.7,"28.4788° N, 76.9960° E",28.4788, 76.9960
flat,vatika xpressions,sector 88,1.1,8148.0,2,4,3+,2.0,North-East,1350.0,1,0,0,0,0,Under Construction,Unfurnished,42,4.3,"28.4220° N, 76.9571° E",28.4220, 76.9571
flat,raheja revanta,sector 78,4.75,16886.0,3,3,2,31.0,East,2813.0,0,1,0,0,0,Relatively New,Unfurnished,52,4.25,"28.3733° N, 76.9729° E",28.3733, 76.9729
flat,signature global city 81,sector 81,0.96,9766.0,2,2,2,1.0,East,1194.0,0,0,0,0,0,Relatively New,Unfurnished,23,4.12,"28.3867° N, 76.9485° E",28.3867, 76.9485
flat,hcbs sports ville,sohna road,0.29,5588.0,2,2,1,4.0,East,577.0,0,0,0,0,0,Relatively New,Unfurnished,22,3.6,"28.4223° N, 77.0402° E",28.4223,77.0402
flat,supertech araville,sector 79,1.35,6941.0,3,3,3,4.0,North,2161.0,0,0,0,0,0,Relatively New,Unfurnished,0,3.75,"28.3624° N, 76.9787° E",28.3624, 76.9787
flat,godrej,sector 33,0.95,6859.0,2,2,3+,3.0,South-East,1253.0,0,0,0,0,0,Under Construction,Unfurnished,0,3.75,"28.4420° N, 77.0207° E",28.4420, 77.0207
flat,shree vardhman flora,sector 90,0.7,5385.0,2,2,3,13.0,East,1176.0,1,0,0,0,0,New Property,Unfurnished,12,4.8,"28.4085° N, 76.9369° E",28.4085, 76.9369
flat,sobha city,sector 108,3.95,16859.0,4,5,3,25.0,East,2343.0,0,0,0,0,0,Relatively New,Unfurnished,25,4.38,"28.5134° N, 76.9830° E",28.5134, 76.9830
flat,senate court,sector 62,0.9,14085.0,1,1,0,0.0,East,639.0,0,0,0,0,0,Relatively New,Unfurnished,0,4.25,"28.4139° N, 77.0886° E",28.4139, 77.0886
flat,shapoorji pallonji joyville gurugram,sector 102,1.05,11475.0,2,2,2,0.0,North-East,1017.0,0,0,0,0,0,Relatively New,Unfurnished,23,4.4,"28.4750° N, 76.9715° E",28.4750, 76.9715
flat,central park flower valley,sector 33,2.2,10476.0,3,3,3,12.0,North-East,1900.0,0,1,0,0,0,New Property,Furnished,23,4.25,"28.4420° N, 77.0207° E",28.4420, 77.0207
flat,smart world gems,sector 89,1.01,9157.0,2,2,2,4.0,East,1226.0,1,0,0,0,0,New Property,Unfurnished,31,4.0,"28.4253° N, 76.9439° E",28.4253, 76.9439
flat,bestech altura,sector 79,1.85,8605.0,3,4,3+,11.0,North,1946.0,0,1,0,0,0,New Property,Unfurnished,23,3.75,"28.3624° N, 76.9787° E",28.3624, 76.9787
flat,smart world gems,sector 89,0.86,7797.0,2,3,3,4.0,East,998.0,0,0,0,0,0,Relatively New,Unfurnished,26,4.0,"28.4253° N, 76.9439° E",28.4253, 76.9439
flat,emaar imperial gardens,sector 102,1.85,9136.0,3,3,3+,0.0,South-West,2250.0,0,1,0,0,0,Relatively New,Furnished,58,4.4,"28.4750° N, 76.9715° E",28.4750, 76.9715
flat,la vida by tata housing,sector 113,2.85,12855.0,3,3,3+,10.0,East,2006.0,0,1,0,0,0,New Property,Unfurnished,44,4.3,"28.5287° N, 77.0233° E",28.5287, 77.0233
flat,the serenas,sector 36,0.42,7910.0,2,2,1,3.0,East,590.0,0,0,0,0,0,New Property,Unfurnished,0,3.8,"28.4160° N, 76.9914° E",28.4160, 76.9914
flat,m3m golfestate,sector 65,6.15,18331.0,3,4,2,20.0,North-East,3355.0,0,0,0,0,0,Relatively New,Unfurnished,27,5.0,"28.4030° N, 77.0690° E",28.4030, 77.0690
flat,central park resort belgravia residences,sector 48,6.25,24300.0,3,5,3+,5.0,South-East,3200.0,0,1,0,0,0,Moderately Old,Furnished,23,4.25,"28.4177° N, 77.0359° E",28.4177, 77.0359
flat,apex builders,sector 37,0.42,5600.0,2,2,2,4.0,North,833.0,0,0,0,0,0,Relatively New,Unfurnished,17,4.25,"28.4375° N, 76.9999° E",28.4375, 76.9999
flat,godrej habitat,sector 3,1.35,12784.0,2,2,0,4.0,North-East,1056.0,0,0,0,0,0,Relatively New,Unfurnished,28,4.38,"28.4909° N, 77.0176° E",28.4909, 77.0176
flat,ompee k s residency,sector 110,1.6,2993.0,2,2,2,1.0,East,73.0,0,0,0,0,0,Relatively New,Unfurnished,0,4.0,"28.5145° N, 77.0197° E",28.5145, 77.0197
flat,bhawna cghs,sector 43,3.25,10156.0,4,4,3+,12.0,West,3115.0,0,0,0,1,0,Moderately Old,Furnished,56,4.25,"28.4629° N, 77.0772° E",28.4629, 77.0772
flat,adani aangan arcade,sector 88a,0.45,7188.0,2,2,1,8.0,North-West,695.0,0,0,0,0,0,New Property,Unfurnished,8,4.7,"28.4347° N, 76.9557° E",28.4347, 76.9557
flat,sare green parc,sector 92,0.85,6538.0,3,2,2,20.0,East,1300.0,0,0,0,0,0,Relatively New,Unfurnished,0,4.0,"28.4079° N, 76.9153° E",28.4079, 76.9153
flat,shree vardhman flora,sector 90,0.75,5769.0,2,2,3,8.0,North-East,1444.0,0,0,0,0,0,Relatively New,Unfurnished,38,4.8,"28.4085° N, 76.9369° E",28.4085, 76.9369
flat,supertech hues,sector 68,0.82,6949.0,2,2,3+,21.0,East,1068.0,0,0,0,0,1,Under Construction,Unfurnished,51,4.0,"28.3853° N, 77.0484° E",28.3853, 77.0484
flat,chintels paradiso,sector 109,1.8,8867.0,3,3,2,0.0,East,1910.0,0,1,0,0,0,Moderately Old,Unfurnished,45,4.6,"28.5073° N, 77.0089° E",28.5073, 77.0089
flat,breez global hill view,sohna road,0.2999,5404.0,2,2,2,6.0,North-East,605.0,0,0,0,0,0,New Property,Unfurnished,65,4.25,"28.4223° N, 77.0402° E",28.4223,77.0402
flat,ild greens,sector 37,0.78,5714.0,2,2,3,1.0,North,1068.1,0,0,0,0,0,Moderately Old,Furnished,58,4.7,"28.4375° N, 76.9999° E",28.4375, 76.9999
flat,ansal sushant lok ci,sector 43,2.0,15152.0,3,3,2,1.0,North,1467.0,0,1,0,0,0,Old Property,Semi-Furnished,6,4.25,"28.4629° N, 77.0772° E",28.4629, 77.0772
flat,ashiana mulberry,sohna road,0.74,6198.0,2,2,3+,12.0,North-West,1344.0,0,0,0,0,0,New Property,Unfurnished,45,4.25,"28.4223° N, 77.0402° E",28.4223,77.0402
flat,godrej meridien,sector 106,3.2,16000.0,3,3,3+,6.0,North-East,2224.0,0,1,0,0,0,New Property,Unfurnished,23,4.3,"28.5007° N, 77.0003° E",28.5007, 77.0003
